name,image_url
"Zurgo, Thunder's Decree",https://cards.scryfall.io/png/front/b/d/bd93fb95-4268-45dc-8f0d-590c481a526d.png?1743204939
Traveling Botanist,https://cards.scryfall.io/png/front/8/9/890b11b4-777a-4f1e-8c4d-21c5ebbfb0a2.png?1743204626
Overwhelming Surge,https://cards.scryfall.io/png/front/b/d/bd7af85f-354e-468a-990b-bd774e68240f.png?1743204422
Wayspeaker Bodyguard,https://cards.scryfall.io/png/front/5/e/5e5b2324-69fe-4105-b6f8-14dfbe359d59.png?1743204097
Encroaching Dragonstorm,https://cards.scryfall.io/png/front/4/d/4ddd4477-f8c9-4d05-9177-f8344ba8f40b.png?1743204535
Dispelling Exhale,https://cards.scryfall.io/png/front/1/c/1c9af3f1-711e-42ae-803a-1100eba3fb13.png?1743204126
Snowmelt Stag,https://cards.scryfall.io/png/front/a/6/a6b3b131-704a-4586-84f8-db465cd4a277.png?1743204189
Sarkhan's Resolve,https://cards.scryfall.io/png/front/c/a/cae56fef-b661-4bc5-b9a1-3871ae06e491.png?1743204600
Alesha's Legacy,https://cards.scryfall.io/png/front/a/9/a9262bf6-df6a-446c-ba70-18270a09842d.png?1743204249
Mardu Devotee,https://cards.scryfall.io/png/front/d/a/da45e9b0-a4f6-413b-9e62-666c511eb5b0.png?1743204014
Shock Brigade,https://cards.scryfall.io/png/front/6/6/66940466-8e9d-4a85-bfb0-e92189b7a121.png?1743204444
Rescue Leopard,https://cards.scryfall.io/png/front/0/5/056136a8-84be-477c-b654-63238fb8236e.png?1743204430
Island,https://cards.scryfall.io/png/front/a/2/a2e22347-f0cb-4cfd-88a3-4f46a16e4946.png?1755290097
Devoted Duelist,https://cards.scryfall.io/png/front/b/b/bbf9c673-37b4-48ed-a9ea-13f8e3e6c47b.png?1743204378
