name,image_url
Stormscale Scion,https://cards.scryfall.io/png/front/0/a/0ac43386-bd32-425c-8776-cec00b064cbc.png?1743204459
Loxodon Battle Priest,https://cards.scryfall.io/png/front/a/5/a527cdb0-f54a-4b53-83a0-6b3e8cafa45e.png?1743204012
Kishla Trawlers,https://cards.scryfall.io/png/front/1/9/190fbc55-e8e9-4077-9532-1de7406baabf.png?1743204163
Formation Breaker,https://cards.scryfall.io/png/front/6/7/67ab8e8f-3ef6-4339-8c66-68c5aca4867a.png?1743207531
Constrictor Sage,https://cards.scryfall.io/png/front/b/2/b2f160d7-c832-4b83-8f2e-aaeb190add3f.png?1743233749
Riverwalk Technique,https://cards.scryfall.io/png/front/0/4/043c25d5-13ee-4cab-98d5-fb89db9cf6e3.png?1743204178
Dragonback Lancer,https://cards.scryfall.io/png/front/0/2/0200a8c5-3293-48d0-a523-ba148680f588.png?1743203987
Undergrowth Leopard,https://cards.scryfall.io/png/front/6/7/67ab8f9a-b17c-452f-b4ef-a3f91909e3de.png?1743204627
Feral Deathgorger,https://cards.scryfall.io/png/front/a/1/a147b94f-dfcf-44ce-8a73-b2fe6c4efc0e.png?1743204282
Fire-Rim Form,https://cards.scryfall.io/png/front/3/2/32dc1bf4-a135-449f-848f-361a5360fae1.png?1743204392
Sandskitter Outrider,https://cards.scryfall.io/png/front/1/c/1c4bfebe-f10f-44bd-9368-33e273ba5a55.png?1743204318
Ringing Strike Mastery,https://cards.scryfall.io/png/front/f/f/ff4fc7ec-05f5-479a-8fbb-31e12a67b57e.png?1743204172
Rugged Highlands,https://cards.scryfall.io/png/front/3/1/31261eca-28ad-407c-84ef-0c124d0d7451.png?1743205049
Mardu Siegebreaker,https://cards.scryfall.io/png/front/3/0/3044b232-edf4-4000-9273-cc4653ad653a.png?1743204809
