name,image_url
Qarsi Revenant,https://cards.scryfall.io/png/front/8/c/8c93a0f6-5e50-4dda-9ff6-da741fb839ff.png?1743204304
Encroaching Dragonstorm,https://cards.scryfall.io/png/front/4/d/4ddd4477-f8c9-4d05-9177-f8344ba8f40b.png?1743204535
Reverberating Summons,https://cards.scryfall.io/png/front/1/a/1af19ce8-bc0c-420c-9e3b-9059b4df32cb.png?1743204431
Cori Mountain Stalwart,https://cards.scryfall.io/png/front/b/6/b6cbf54e-f30e-4e7b-b17c-217fa424971c.png?1743204677
Furious Forebear,https://cards.scryfall.io/png/front/a/4/a4f247b6-8212-4e78-a452-d2d3be228d8e.png?1743204001
Poised Practitioner,https://cards.scryfall.io/png/front/b/b/bb25366d-a647-4c5e-bcc7-7e54659aacbd.png?1743204021
Aggressive Negotiations,https://cards.scryfall.io/png/front/9/9/993ade84-031f-4a3e-bd68-55f61b559248.png?1743204240
Highspire Bell-Ringer,https://cards.scryfall.io/png/front/e/7/e75dccf7-2894-4c4a-b516-3eee73acddd3.png?1743204148
Summit Intimidator,https://cards.scryfall.io/png/front/e/3/e3cba0b1-7c22-4e51-b9cf-5bf01e67a222.png?1743204466
Roamer's Routine,https://cards.scryfall.io/png/front/f/b/fb8c2d5c-ba0c-4d50-8898-5c6574b1e974.png?1743204581
Sandskitter Outrider,https://cards.scryfall.io/png/front/1/c/1c4bfebe-f10f-44bd-9368-33e273ba5a55.png?1743204318
Abzan Devotee,https://cards.scryfall.io/png/front/6/6/66555946-e747-46fa-b1ac-b103a8edcd93.png?1743204231
Dismal Backwater,https://cards.scryfall.io/png/front/0/8/082b52c9-c46e-44d3-b723-546ba528e07b.png?1743697562
Qarsi Revenant,https://cards.scryfall.io/png/front/8/c/8c93a0f6-5e50-4dda-9ff6-da741fb839ff.png?1743204304
