name,image_url
Tersa Lightshatter,https://cards.scryfall.io/png/front/9/9/99e96b34-b1c4-4647-a38e-2cf1aedaaace.png?1743204474
Bewildering Blizzard,https://cards.scryfall.io/png/front/9/1/91b25843-1aa0-484a-b6c7-0c284fe7214a.png?1743204112
Attuned Hunter,https://cards.scryfall.io/png/front/d/1/d1a4f502-86a9-49fb-9cb9-7918d13c5313.png?1743204506
Sunset Strikemaster,https://cards.scryfall.io/png/front/f/8/f8f1a2f2-526d-4b2c-985b-0acfdc21a2ee.png?1743204467
Host of the Hereafter,https://cards.scryfall.io/png/front/0/f/0f182957-8133-45a7-80a3-1944bead4d43.png?1743204755
Alesha's Legacy,https://cards.scryfall.io/png/front/a/9/a9262bf6-df6a-446c-ba70-18270a09842d.png?1743204249
Reputable Merchant,https://cards.scryfall.io/png/front/b/7/b7d0591e-7fb7-40ea-ba2a-cfe544d40216.png?1743204858
Narset's Rebuke,https://cards.scryfall.io/png/front/5/0/5098bd73-d51c-4db4-bf06-fd4854089d37.png?1743204422
Arashin Sunshield,https://cards.scryfall.io/png/front/d/d/dd7102d8-90b3-45a1-b66d-dcca469b1fb6.png?1743697519
Krotiq Nestguard,https://cards.scryfall.io/png/front/a/5/a5d0a9fb-1068-478d-a78c-6fd77cc313f0.png?1743204557
Sibsig Appraiser,https://cards.scryfall.io/png/front/6/7/670c5b96-bac6-449b-a2bd-cb43750d3911.png?1743204185
Devoted Duelist,https://cards.scryfall.io/png/front/b/b/bbf9c673-37b4-48ed-a9ea-13f8e3e6c47b.png?1743204378
Bloodfell Caves,https://cards.scryfall.io/png/front/1/d/1dde3c68-6f29-4c00-b668-c25ac9e3e13b.png?1743204990
Focus the Mind,https://cards.scryfall.io/png/front/a/b/abb0ba34-6904-4c17-a04d-ea4f12c7cf21.png?1743204141
