name,image_url
Naga Fleshcrafter,https://cards.scryfall.io/png/front/5/d/5df17423-9fdd-4432-8660-1d267c685595.png?1743204171
Duty Beyond Death,https://cards.scryfall.io/png/front/2/e/2e92640d-768b-4357-905f-bea017d351cc.png?1743203993
Veteran Ice Climber,https://cards.scryfall.io/png/front/b/c/bcccfd7b-2846-4552-a89a-2b868bc9ab20.png?1743204215
Rainveil Rejuvenator,https://cards.scryfall.io/png/front/9/b/9bc5c316-6a41-48ba-864b-da3030dd3e0e.png?1743204573
Furious Forebear,https://cards.scryfall.io/png/front/a/4/a4f247b6-8212-4e78-a452-d2d3be228d8e.png?1743204001
Poised Practitioner,https://cards.scryfall.io/png/front/b/b/bb25366d-a647-4c5e-bcc7-7e54659aacbd.png?1743204021
Dragonstorm Globe,https://cards.scryfall.io/png/front/7/f/7f50aa6e-ce6a-4479-9725-202926245f2c.png?1743204954
Highspire Bell-Ringer,https://cards.scryfall.io/png/front/e/7/e75dccf7-2894-4c4a-b516-3eee73acddd3.png?1743204148
Undergrowth Leopard,https://cards.scryfall.io/png/front/6/7/67ab8f9a-b17c-452f-b4ef-a3f91909e3de.png?1743204627
Worthy Cost,https://cards.scryfall.io/png/front/a/d/adc18edc-01d8-4a7e-a87b-a854e50aa75e.png?1743204359
Devoted Duelist,https://cards.scryfall.io/png/front/b/b/bbf9c673-37b4-48ed-a9ea-13f8e3e6c47b.png?1743204378
Dragon's Prey,https://cards.scryfall.io/png/front/7/a/7a6004ff-4180-4332-8b51-960f8c7521d9.png?1743204277
Dismal Backwater,https://cards.scryfall.io/png/front/0/8/082b52c9-c46e-44d3-b723-546ba528e07b.png?1743697562
Gurmag Nightwatch,https://cards.scryfall.io/png/front/d/e/de731430-6bbf-4782-953e-b69c46353959.png?1743204741
