name,image_url
Awaken the Honored Dead,https://cards.scryfall.io/png/front/1/4/14078a49-2230-4ad7-aea0-0c253813c646.png?1743204653
Twinmaw Stormbrood,https://cards.scryfall.io/png/front/2/9/2999e3b1-6510-42b2-9429-28c07a64a44f.png?1743204919
Dalkovan Packbeasts,https://cards.scryfall.io/png/front/4/d/4df7b253-6107-47d6-b650-cb4d3e0aec6b.png?1743203980
Sunset Strikemaster,https://cards.scryfall.io/png/front/f/8/f8f1a2f2-526d-4b2c-985b-0acfdc21a2ee.png?1743204467
Furious Forebear,https://cards.scryfall.io/png/front/a/4/a4f247b6-8212-4e78-a452-d2d3be228d8e.png?1743204001
Ainok Wayfarer,https://cards.scryfall.io/png/front/5/7/57695a9b-8f72-4ccc-a946-5d5037b09b8f.png?1743204503
Jade-Cast Sentinel,https://cards.scryfall.io/png/front/5/1/516ce5fa-bd00-429b-ba22-b38c7dd9306c.png?1743204961
Dirgur Island Dragon,https://cards.scryfall.io/png/front/b/1/b1d21a9a-6b0c-4fbc-a427-81be885d326b.png?1743204119
Abzan Devotee,https://cards.scryfall.io/png/front/6/6/66555946-e747-46fa-b1ac-b103a8edcd93.png?1743204231
Riling Dawnbreaker,https://cards.scryfall.io/png/front/3/1/312f7072-3bf8-449f-bfb7-93727ef26c66.png?1743204036
Seize Opportunity,https://cards.scryfall.io/png/front/f/7/f7818d28-b9a5-4341-9adc-666070b8878d.png?1743204441
Narset's Rebuke,https://cards.scryfall.io/png/front/5/0/5098bd73-d51c-4db4-bf06-fd4854089d37.png?1743204422
Wind-Scarred Crag,https://cards.scryfall.io/png/front/4/9/4912e4d0-b16a-4aa6-a583-3430d26bd591.png?1748464664
Corroding Dragonstorm,https://cards.scryfall.io/png/front/e/2/e2a2d395-26d6-4eb2-9e8c-ed7dbbd3a8f5.png?1743204259
