name,image_url
"Anafenza, Unyielding Lineage",https://cards.scryfall.io/png/front/2/9/29957f49-9a6b-42f6-b2fb-b48f653ab725.png?1743203958
Kishla Skimmer,https://cards.scryfall.io/png/front/b/5/b5f1acb0-d73e-4814-8158-3645daf5c4cc.png?1743204788
Dragonbroods' Relic,https://cards.scryfall.io/png/front/3/d/3d634087-77ba-4543-aa7a-8a3774d69cd7.png?1743204527
Krumar Initiate,https://cards.scryfall.io/png/front/b/c/bc66680f-24ab-433a-8197-feac3a174075.png?1743204296
Whirlwing Stormbrood,https://cards.scryfall.io/png/front/5/6/56a25eb1-bdb8-4f86-8d9a-3055ad1b2a13.png?1743204927
Shock Brigade,https://cards.scryfall.io/png/front/6/6/66940466-8e9d-4a85-bfb0-e92189b7a121.png?1743204444
Champion of Dusan,https://cards.scryfall.io/png/front/c/5/c51dcdab-38ee-4804-8859-09adc353c182.png?1743204513
Aggressive Negotiations,https://cards.scryfall.io/png/front/9/9/993ade84-031f-4a3e-bd68-55f61b559248.png?1743204240
Dirgur Island Dragon,https://cards.scryfall.io/png/front/b/1/b1d21a9a-6b0c-4fbc-a427-81be885d326b.png?1743204119
Rebellious Strike,https://cards.scryfall.io/png/front/c/9/c9bafe19-3bd6-4da0-b3e5-e0b89262504c.png?1743204030
Arashin Sunshield,https://cards.scryfall.io/png/front/d/d/dd7102d8-90b3-45a1-b66d-dcca469b1fb6.png?1743697519
Underfoot Underdogs,https://cards.scryfall.io/png/front/0/4/049acc79-1d68-410f-a081-88a7d40e823a.png?1743204484
Thornwood Falls,https://cards.scryfall.io/png/front/e/b/ebb502c2-5fd0-46a9-b77d-010f4a942056.png?1743205064
Stormshriek Feral,https://cards.scryfall.io/png/front/0/e/0ec92c44-7cf0-48a5-a3ca-bc633496d887.png?1743204459
