name,image_url
Roar of Endless Song,https://cards.scryfall.io/png/front/7/a/7a9c3531-61a8-43f5-82a2-5166e5f5a6b9.png?1744577948
Stillness in Motion,https://cards.scryfall.io/png/front/a/6/a6289251-17e4-4987-96b9-2fb1a8f90e2a.png?1743697642
Shocking Sharpshooter,https://cards.scryfall.io/png/front/4/a/4a10342d-ca04-4d1e-bca9-79f531951a16.png?1743204450
Furious Forebear,https://cards.scryfall.io/png/front/a/4/a4f247b6-8212-4e78-a452-d2d3be228d8e.png?1743204001
Rakshasa's Bargain,https://cards.scryfall.io/png/front/5/c/5c409f4f-3b2c-4c33-b850-55b2a46f51ca.png?1743204844
Focus the Mind,https://cards.scryfall.io/png/front/a/b/abb0ba34-6904-4c17-a04d-ea4f12c7cf21.png?1743204141
Poised Practitioner,https://cards.scryfall.io/png/front/b/b/bb25366d-a647-4c5e-bcc7-7e54659aacbd.png?1743204021
Sandskitter Outrider,https://cards.scryfall.io/png/front/1/c/1c4bfebe-f10f-44bd-9368-33e273ba5a55.png?1743204318
Ainok Wayfarer,https://cards.scryfall.io/png/front/5/7/57695a9b-8f72-4ccc-a946-5d5037b09b8f.png?1743204503
Devoted Duelist,https://cards.scryfall.io/png/front/b/b/bbf9c673-37b4-48ed-a9ea-13f8e3e6c47b.png?1743204378
Lightfoot Technique,https://cards.scryfall.io/png/front/b/a/baac1a41-d44d-4184-9147-b4233e73de65.png?1743204007
Boulderborn Dragon,https://cards.scryfall.io/png/front/5/0/50c6e815-bfe7-4599-9227-d36504a3640f.png?1743204948
Dismal Backwater,https://cards.scryfall.io/png/front/0/8/082b52c9-c46e-44d3-b723-546ba528e07b.png?1743697562
Karakyk Guardian,https://cards.scryfall.io/png/front/a/4/a4c77b08-c3f6-4458-8636-f226f9843b6d.png?1743233806
