name,image_url
Severance Priest,https://cards.scryfall.io/png/front/b/c/bc779a1b-128c-4c74-bebd-bdb687867f68.png?1743204878
New Way Forward,https://cards.scryfall.io/png/front/d/9/d9d48f9e-79f0-478c-9db0-ff7ac4a8f401.png?1743204834
War Effort,https://cards.scryfall.io/png/front/d/d/dd7f0413-c009-4c08-b877-9c1b776cbf26.png?1743204492
Karakyk Guardian,https://cards.scryfall.io/png/front/a/4/a4c77b08-c3f6-4458-8636-f226f9843b6d.png?1743233806
Reverberating Summons,https://cards.scryfall.io/png/front/1/a/1af19ce8-bc0c-420c-9e3b-9059b4df32cb.png?1743204431
Feral Deathgorger,https://cards.scryfall.io/png/front/a/1/a147b94f-dfcf-44ce-8a73-b2fe6c4efc0e.png?1743204282
Boulderborn Dragon,https://cards.scryfall.io/png/front/5/0/50c6e815-bfe7-4599-9227-d36504a3640f.png?1743204948
Jeskai Devotee,https://cards.scryfall.io/png/front/2/7/27f31f9c-7149-4608-9b18-b3530a2efd4a.png?1743204404
Lightfoot Technique,https://cards.scryfall.io/png/front/b/a/baac1a41-d44d-4184-9147-b4233e73de65.png?1743204007
Sagu Wildling,https://cards.scryfall.io/png/front/d/8/d8b43b00-f4d1-436c-bf3f-6d414cd4ce38.png?1743204593
Snowmelt Stag,https://cards.scryfall.io/png/front/a/6/a6b3b131-704a-4586-84f8-db465cd4a277.png?1743204189
Sarkhan's Resolve,https://cards.scryfall.io/png/front/c/a/cae56fef-b661-4bc5-b9a1-3871ae06e491.png?1743204600
Dismal Backwater,https://cards.scryfall.io/png/front/0/8/082b52c9-c46e-44d3-b723-546ba528e07b.png?1743697562
Narset's Rebuke,https://cards.scryfall.io/png/front/5/0/5098bd73-d51c-4db4-bf06-fd4854089d37.png?1743204422
