name,image_url
Mardu Siegebreaker,https://cards.scryfall.io/png/front/3/0/3044b232-edf4-4000-9273-cc4653ad653a.png?1743204809
Desperate Measures,https://cards.scryfall.io/png/front/c/c/ccbc6fd0-42bc-4e8b-96bc-69a631ba7106.png?1743204274
Bone-Cairn Butcher,https://cards.scryfall.io/png/front/7/8/78bf36bc-6702-4c5d-b52d-ab7217cc8787.png?1743204667
Shocking Sharpshooter,https://cards.scryfall.io/png/front/4/a/4a10342d-ca04-4d1e-bca9-79f531951a16.png?1743204450
Frontier Bivouac,https://cards.scryfall.io/png/front/6/7/679fff07-4796-4d91-8dd6-4e294383ce88.png?1743205011
Abzan Devotee,https://cards.scryfall.io/png/front/6/6/66555946-e747-46fa-b1ac-b103a8edcd93.png?1743204231
Jade-Cast Sentinel,https://cards.scryfall.io/png/front/5/1/516ce5fa-bd00-429b-ba22-b38c7dd9306c.png?1743204961
Narset's Rebuke,https://cards.scryfall.io/png/front/5/0/5098bd73-d51c-4db4-bf06-fd4854089d37.png?1743204422
Poised Practitioner,https://cards.scryfall.io/png/front/b/b/bb25366d-a647-4c5e-bcc7-7e54659aacbd.png?1743204021
Highspire Bell-Ringer,https://cards.scryfall.io/png/front/e/7/e75dccf7-2894-4c4a-b516-3eee73acddd3.png?1743204148
Krotiq Nestguard,https://cards.scryfall.io/png/front/a/5/a5d0a9fb-1068-478d-a78c-6fd77cc313f0.png?1743204557
Underfoot Underdogs,https://cards.scryfall.io/png/front/0/4/049acc79-1d68-410f-a081-88a7d40e823a.png?1743204484
Tranquil Cove,https://cards.scryfall.io/png/front/1/c/1c4efa6c-4f29-41cd-a728-bf0e479ace05.png?1743205066
Thunder of Unity,https://cards.scryfall.io/png/front/5/c/5c953b36-f5e4-4258-91cb-f07e799321f7.png?1744578016
