name,image_url
Flamehold Grappler,https://cards.scryfall.io/png/front/c/c/cc8443a6-282f-4218-9dc8-144b5570d891.png?1743204722
Teeming Dragonstorm,https://cards.scryfall.io/png/front/3/b/3b9d771f-24dc-4ed6-8051-62df576a2ba5.png?1743204080
Gurmag Rakshasa,https://cards.scryfall.io/png/front/f/0/f05ad909-8860-473b-9a30-a322f7670b32.png?1743204286
Wingblade Disciple,https://cards.scryfall.io/png/front/7/1/71de7dca-0231-4407-86a0-c7fc95f5aaa0.png?1743204222
Dragonstorm Forecaster,https://cards.scryfall.io/png/front/7/5/75ec7a31-1893-493c-926b-dc3a8a770e72.png?1743204133
Ainok Wayfarer,https://cards.scryfall.io/png/front/5/7/57695a9b-8f72-4ccc-a946-5d5037b09b8f.png?1743204503
Osseous Exhale,https://cards.scryfall.io/png/front/2/3/2300da2f-2297-4c2f-90c1-11ce2b42d91f.png?1743204021
Humbling Elder,https://cards.scryfall.io/png/front/3/a/3a84c3f8-0030-4653-880e-b2d19272f5fa.png?1743697602
Kin-Tree Nurturer,https://cards.scryfall.io/png/front/2/1/2177ef64-28bf-4acf-b1f1-c1408f03c411.png?1743204295
Narset's Rebuke,https://cards.scryfall.io/png/front/5/0/5098bd73-d51c-4db4-bf06-fd4854089d37.png?1743204422
Summit Intimidator,https://cards.scryfall.io/png/front/e/3/e3cba0b1-7c22-4e51-b9cf-5bf01e67a222.png?1743204466
Alesha's Legacy,https://cards.scryfall.io/png/front/a/9/a9262bf6-df6a-446c-ba70-18270a09842d.png?1743204249
Dismal Backwater,https://cards.scryfall.io/png/front/0/8/082b52c9-c46e-44d3-b723-546ba528e07b.png?1743697562
Nomad Outpost,https://cards.scryfall.io/png/front/a/6/a68fbeaa-941f-4d53-becd-f93ed22b9a54.png?1743205041
