name,image_url
Roar of Endless Song,https://cards.scryfall.io/png/front/7/a/7a9c3531-61a8-43f5-82a2-5166e5f5a6b9.png?1744577948
Attuned Hunter,https://cards.scryfall.io/png/front/d/1/d1a4f502-86a9-49fb-9cb9-7918d13c5313.png?1743204506
Purging Stormbrood,https://cards.scryfall.io/png/front/3/9/3988dc76-072c-4f43-849d-2e73c6f6ff58.png?1743204843
War Effort,https://cards.scryfall.io/png/front/d/d/dd7f0413-c009-4c08-b877-9c1b776cbf26.png?1743204492
Mammoth Bellow,https://cards.scryfall.io/png/front/4/6/468b17b4-79ce-4dfa-8873-a9cfc347e38f.png?1743204808
Iceridge Serpent,https://cards.scryfall.io/png/front/d/1/d13f117b-b8e4-48db-8ce9-5da9c7ce23a5.png?1743204156
Sandskitter Outrider,https://cards.scryfall.io/png/front/1/c/1c4bfebe-f10f-44bd-9368-33e273ba5a55.png?1743204318
Summit Intimidator,https://cards.scryfall.io/png/front/e/3/e3cba0b1-7c22-4e51-b9cf-5bf01e67a222.png?1743204466
Fortress Kin-Guard,https://cards.scryfall.io/png/front/b/6/b647a018-1d70-43a1-a265-928bcd863689.png?1743204000
Krotiq Nestguard,https://cards.scryfall.io/png/front/a/5/a5d0a9fb-1068-478d-a78c-6fd77cc313f0.png?1743204557
Humbling Elder,https://cards.scryfall.io/png/front/3/a/3a84c3f8-0030-4653-880e-b2d19272f5fa.png?1743697602
Coordinated Maneuver,https://cards.scryfall.io/png/front/c/6/c6569487-53c5-4b91-877d-e4e31bfa90c0.png?1743203976
Wind-Scarred Crag,https://cards.scryfall.io/png/front/4/9/4912e4d0-b16a-4aa6-a583-3430d26bd591.png?1748464664
Nature's Rhythm,https://cards.scryfall.io/png/front/1/3/1397d904-c51d-451e-8505-7f3118acc1f6.png?1743204565
